year	country_id	lifeExp	pop	gdpPercap
1992	28	72.178	4256013	2546.781445
1997	28	73.244	3607000	4766.355904
2002	28	74.09	4165416	6018.975239
2007	28	74.852	4552198	7446.298803
1952	29	47.622	442308	851.2411407
1957	29	49.618	474639	918.2325349
1962	29	51.52	512764	983.6539764
1967	29	53.298	553541	1214.709294
1972	29	56.024	619351	2263.611114
1977	29	59.319	781472	3214.857818
1982	29	61.484	970347	4551.14215
1987	29	63.622	1151184	6205.88385
1992	29	62.745	1342614	7954.111645
1997	29	52.556	1536536	8647.142313
2002	29	46.634	1630347	11003.60508
2007	29	50.728	1639131	12569.85177
1952	31	50.917	56602560	2108.944355
1957	31	53.285	65551171	2487.365989
1962	31	55.665	76039390	3336.585802
1967	31	57.632	88049823	3429.864357
1972	31	59.504	100840058	4985.711467
1977	31	61.489	114313951	6660.118654
1982	31	63.336	128962939	7030.835878
1987	31	65.205	142938076	7807.095818
1992	31	67.057	155975974	6950.283021
1997	31	69.388	168546719	7957.980824
2002	31	71.006	179914212	8131.212843
2007	31	72.39	190010647	9065.800825
1952	34	59.6	7274900	2444.286648
1957	34	66.61	7651254	3008.670727
1962	34	69.51	8012946	4254.337839
1967	34	70.42	8310226	5577.0028
1972	34	70.9	8576200	6597.494398
1977	34	70.81	8797022	7612.240438
1982	34	71.08	8892098	8224.191647
1987	34	71.34	8971958	8239.854824
1992	34	71.19	8658506	6302.623438
1997	34	70.32	8066057	5970.38876
2002	34	72.14	7661799	7696.777725
2007	34	73.005	7322858	10680.79282
1952	35	31.975	4469979	543.2552413
1957	35	34.906	4713416	617.1834648
1962	35	37.814	4919632	722.5120206
1967	35	40.697	5127935	794.8265597
1972	35	43.591	5433886	854.7359763
1977	35	46.137	5889574	743.3870368
1982	35	48.122	6634596	807.1985855
1987	35	49.557	7586551	912.0631417
1992	35	50.26	8878303	931.7527731
1997	35	50.324	10352843	946.2949618
2002	35	50.65	12251209	1037.645221
2007	35	52.295	14326203	1217.032994
1952	36	39.031	2445618	339.2964587
1957	36	40.533	2667518	379.5646281
1962	36	42.045	2961915	355.2032273
1967	36	43.548	3330989	412.9775136
1972	36	44.057	3529983	464.0995039
1977	36	45.91	3834415	556.1032651
1982	36	47.471	4580410	559.603231
1987	36	48.211	5126023	621.8188189
1992	36	44.736	5809236	631.6998778
1997	36	45.326	6121610	463.1151478
2002	36	47.36	7021078	446.4035126
2007	36	49.58	8390505	430.0706916
1952	38	39.417	4693836	368.4692856
1957	38	41.366	5322536	434.0383364
1962	38	43.415	6083619	496.9136476
1967	38	45.415	6960067	523.4323142
1972	38	40.317	7450606	421.6240257
1977	38	31.22	6978607	524.9721832
1982	38	50.957	7272485	624.4754784
1987	38	53.914	8371791	683.8955732
1992	38	55.803	10150094	682.3031755
1997	38	56.534	11782962	734.28517
2002	38	56.752	12926707	896.2260153
2007	38	59.723	14131858	1713.778686
1952	39	38.523	5009067	1172.667655
1957	39	40.428	5359923	1313.048099
1962	39	42.643	5793633	1399.607441
1967	39	44.799	6335506	1508.453148
1972	39	47.049	7021028	1684.146528
1977	39	49.355	7959865	1783.432873
1982	39	52.961	9250831	2367.983282
1987	39	54.985	10780667	2602.664206
1992	39	54.314	12467171	1793.163278
1997	39	52.199	14195809	1694.337469
2002	39	49.856	15929988	1934.011449
2007	39	50.43	17696293	2042.09524
1952	40	68.75	14785584	11367.16112
1957	40	69.96	17010154	12489.95006
1962	40	71.3	18985849	13462.48555
1967	40	72.13	20819767	16076.58803
1972	40	72.88	22284500	18970.57086
1977	40	74.21	23796400	22090.88306
1982	40	75.76	25201900	22898.79214
1987	40	76.86	26549700	26626.51503
1992	40	77.95	28523502	26342.88426
1997	40	78.61	30305843	28954.92589
2002	40	79.77	31902268	33328.96507
2007	40	80.653	33390141	36319.23501
1952	42	35.463	1291695	1071.310713
1957	42	37.464	1392284	1190.844328
1962	42	39.475	1523478	1193.068753
1967	42	41.478	1733638	1136.056615
1972	42	43.457	1927260	1070.013275
1977	42	46.775	2167533	1109.374338
1982	42	48.295	2476971	956.7529907
1987	42	50.485	2840009	844.8763504
1992	42	49.396	3265124	747.9055252
1997	42	46.066	3696513	740.5063317
2002	42	43.308	4048013	738.6906068
2007	42	44.741	4369038	706.016537
1952	43	38.092	2682462	1178.665927
1957	43	39.881	2894855	1308.495577
1962	43	41.716	3150417	1389.817618
1967	43	43.601	3495967	1196.810565
1972	43	45.569	3899068	1104.103987
1977	43	47.383	4388260	1133.98495
1982	43	49.517	4875118	797.9081006
1987	43	51.051	5498955	952.386129
1992	43	51.724	6429417	1058.0643
1997	43	51.573	7562011	1004.961353
2002	43	50.525	8835739	1156.18186
2007	43	50.651	10238807	1704.063724
1952	44	54.745	6377619	3939.978789
1957	44	56.074	7048426	4315.622723
1962	44	57.924	7961258	4519.094331
1967	44	60.523	8858908	5106.654313
1972	44	63.441	9717524	5494.024437
1977	44	67.052	10599793	4756.763836
1982	44	70.565	11487112	5095.665738
1987	44	72.492	12463354	5547.063754
1992	44	74.126	13572994	7596.125964
1997	44	75.816	14599929	10118.05318
2002	44	77.86	15497046	10778.78385
2007	44	78.553	16284741	13171.63885
1952	45	44	556263527	400.448611
1957	45	50.54896	637408000	575.9870009
1962	45	44.50136	665770000	487.6740183
1967	45	58.38112	754550000	612.7056934
1972	45	63.11888	862030000	676.9000921
1977	45	63.96736	943455000	741.2374699
1982	45	65.525	1000281000	962.4213805
1987	45	67.274	1084035000	1378.904018
1992	45	68.69	1164970000	1655.784158
1997	45	70.426	1230075000	2289.234136
2002	45	72.028	1280400000	3119.280896
2007	45	72.961	1318683096	4959.114854
1952	48	50.643	12350771	2144.115096
1957	48	55.118	14485993	2323.805581
1962	48	57.863	17009885	2492.351109
1967	48	59.963	19764027	2678.729839
1972	48	61.623	22542890	3264.660041
1977	48	63.837	25094412	3815.80787
1982	48	66.653	27764644	4397.575659
1987	48	67.768	30964245	4903.2191
1992	48	68.421	34202721	5444.648617
1997	48	70.313	37657830	6117.361746
2002	48	71.682	41008227	5755.259962
2007	48	72.889	44227550	7006.580419
1952	49	40.715	153936	1102.990936
1957	49	42.46	170928	1211.148548
1962	49	44.467	191689	1406.648278
1967	49	46.472	217378	1876.029643
1972	49	48.944	250027	1937.577675
1977	49	50.939	304739	1172.603047
1982	49	52.933	348643	1267.100083
1987	49	54.926	395114	1315.980812
1992	49	57.939	454429	1246.90737
1997	49	60.66	527982	1173.618235
2002	49	62.974	614382	1075.811558
2007	49	65.152	710960	986.1478792
1952	50	39.143	14100005	780.5423257
1957	50	40.652	15577932	905.8602303
1962	50	42.122	17486434	896.3146335
1967	50	44.056	19941073	861.5932424
1972	50	45.989	23007669	904.8960685
1977	50	47.804	26480870	795.757282
1982	50	47.784	30646495	673.7478181
1987	50	47.412	35481645	672.774812
1992	50	45.548	41672143	457.7191807
1997	50	42.587	47798986	312.188423
2002	50	44.966	55379852	241.1658765
2007	50	46.462	64606759	277.5518587
1952	51	42.111	854885	2125.621418
1957	51	45.053	940458	2315.056572
1962	51	48.435	1047924	2464.783157
1967	51	52.04	1179760	2677.939642
1972	51	54.907	1340458	3213.152683
1977	51	55.625	1536769	3259.178978
1982	51	56.695	1774735	4879.507522
1987	51	57.47	2064095	4201.194937
1992	51	56.433	2409073	4016.239529
1997	51	52.962	2800947	3484.164376
2002	51	52.97	3328795	3484.06197
2007	51	55.322	3800610	3632.557798
1952	53	57.206	926317	2627.009471
1957	53	60.026	1112300	2990.010802
1962	53	62.842	1345187	3460.937025
1967	53	65.424	1588717	4161.727834
1972	53	67.849	1834796	5118.146939
1977	53	70.75	2108457	5926.876967
1982	53	73.45	2424367	5262.734751
1987	53	74.752	2799811	5629.915318
1992	53	75.713	3173216	6160.416317
1997	53	77.26	3518107	6677.045314
2002	53	78.123	3834934	7723.447195
2007	53	78.782	4133884	9645.06142
1952	59	40.477	2977019	1388.594732
1957	59	42.469	3300000	1500.895925
1962	59	44.93	3832408	1728.869428
1967	59	47.35	4744870	2052.050473
1972	59	49.801	6071696	2378.201111
1977	59	52.374	7459574	2517.736547
1982	59	53.983	9025951	2602.710169
1987	59	54.655	10761098	2156.956069
1992	59	52.044	12772596	1648.073791
1997	59	47.991	14625967	1786.265407
2002	59	46.832	16252726	1648.800823
2007	59	48.328	18013409	1544.750112
1952	54	61.21	3882229	3119.23652
1957	54	64.77	3991242	4338.231617
1962	54	67.13	4076557	5477.890018
1967	54	68.5	4174366	6960.297861
1972	54	69.61	4225310	9164.090127
1977	54	70.64	4318673	11305.38517
1982	54	70.46	4413368	13221.82184
1987	54	71.52	4484310	13822.58394
1992	54	72.527	4494013	8447.794873
1997	54	73.68	4444595	9875.604515
2002	54	74.876	4481020	11628.38895
2007	54	75.748	4493312	14619.22272
1952	55	59.421	6007797	5586.53878
1957	55	62.325	6640752	6092.174359
1962	55	65.246	7254373	5180.75591
1967	55	68.29	8139332	5690.268015
1972	55	70.723	8831348	5305.445256
1977	55	72.649	9537988	6380.494966
1982	55	73.717	9789224	7316.918107
1987	55	74.174	10239839	7532.924763
1992	55	74.414	10723260	5592.843963
1997	55	76.151	10983007	5431.990415
2002	55	77.158	11226999	6340.646683
2007	55	78.273	11416987	8948.102923
1952	58	66.87	9125183	6876.14025
1957	58	69.03	9513758	8256.343918
1962	58	69.9	9620282	10136.86713
1967	58	70.38	9835109	11399.44489
1972	58	70.29	9862158	13108.4536
1977	58	70.71	10161915	14800.16062
1982	58	70.96	10303704	15377.22855
1987	58	71.58	10311597	16310.4434
1992	58	72.4	10315702	14297.02122
1997	58	74.01	10300707	16048.51424
2002	58	75.51	10256295	17596.21022
2007	58	76.486	10228744	22833.30851
1952	60	70.78	4334000	9692.385245
1957	60	71.81	4487831	11099.65935
1962	60	72.35	4646899	13583.31351
1967	60	72.96	4838800	15937.21123
1972	60	73.47	4991596	18866.20721
1977	60	74.69	5088419	20422.9015
1982	60	74.63	5117810	21688.04048
1987	60	74.8	5127024	25116.17581
1992	60	75.33	5171393	26406.73985
1997	60	76.11	5283663	29804.34567
2002	60	77.18	5374693	32166.50006
2007	60	78.332	5468120	35278.41874
1952	61	34.812	63149	2669.529475
1957	61	37.328	71851	2864.969076
1962	61	39.693	89898	3020.989263
1967	61	42.074	127617	3020.050513
1972	61	44.366	178848	3694.212352
1977	61	46.519	228694	3081.761022
1982	61	48.812	305991	2879.468067
1987	61	50.04	311025	2880.102568
1992	61	51.604	384156	2377.156192
1997	61	53.157	417908	1895.016984
2002	61	53.373	447416	1908.260867
2007	61	54.791	496374	2082.481567
1952	63	45.928	2491346	1397.717137
1957	63	49.828	2923186	1544.402995
1962	63	53.459	3453434	1662.137359
1967	63	56.751	4049146	1653.723003
1972	63	59.631	4671329	2189.874499
1977	63	61.788	5302800	2681.9889
1982	63	63.727	5968349	2861.092386
1987	63	66.046	6655297	2899.842175
1992	63	68.457	7351181	3044.214214
1997	63	69.957	7992357	3614.101285
2002	63	70.847	8650322	4563.808154
2007	63	72.235	9319622	6025.374752
1952	64	48.357	3548753	3522.110717
1957	64	51.356	4058385	3780.546651
1962	64	54.64	4681707	4086.114078
1967	64	56.678	5432424	4579.074215
1972	64	58.796	6298651	5280.99471
1977	64	61.31	7278866	6679.62326
1982	64	64.342	8365850	7213.791267
1987	64	67.231	9545158	6481.776993
1992	64	69.613	10748394	7103.702595
1997	64	72.312	11911819	7429.455877
2002	64	74.173	12921234	5773.044512
2007	64	74.994	13755680	6873.262326
1952	65	41.893	22223309	1418.822445
1957	65	44.444	25009741	1458.915272
1962	65	46.992	28173309	1693.335853
1967	65	49.293	31681188	1814.880728
1972	65	51.137	34807417	2024.008147
1977	65	53.319	38783863	2785.493582
1982	65	56.006	45681811	3503.729636
1987	65	59.797	52799062	3885.46071
1992	65	63.674	59402198	3794.755195
1997	65	67.217	66134291	4173.181797
2002	65	69.806	73312559	4754.604414
2007	65	71.338	80264543	5581.180998
1952	66	45.262	2042865	3048.3029
1957	66	48.57	2355805	3421.523218
1962	66	52.307	2747687	3776.803627
1967	66	55.855	3232927	4358.595393
1972	66	58.207	3790903	4520.246008
1977	66	56.696	4282586	5138.922374
1982	66	56.604	4474873	4098.344175
1987	66	63.154	4842194	4140.442097
1992	66	66.798	5274649	4444.2317
1997	66	69.535	5783439	5154.825496
2002	66	70.734	6353681	5351.568666
2007	66	71.878	6939688	5728.353514
1952	67	34.482	216964	375.6431231
1957	67	35.983	232922	426.0964081
1962	67	37.485	249220	582.8419714
1967	67	38.987	259864	915.5960025
1972	67	40.516	277603	672.4122571
1977	67	42.024	192675	958.5668124
1982	67	43.662	285483	927.8253427
1987	67	45.664	341244	966.8968149
1992	67	47.545	387838	1132.055034
1997	67	48.245	439971	2814.480755
2002	67	49.348	495627	7703.4959
2007	67	51.579	551201	12154.08975
1952	68	35.928	1438760	328.9405571
1957	68	38.047	1542611	344.1618859
1962	68	40.158	1666618	380.9958433
1967	68	42.189	1820319	468.7949699
1972	68	44.142	2260187	514.3242082
1977	68	44.535	2512642	505.7538077
1982	68	43.89	2637297	524.8758493
1987	68	46.453	2915959	521.1341333
1992	68	49.991	3668440	582.8585102
1997	68	53.378	4058319	913.47079
2002	68	55.24	4414865	765.3500015
2007	68	58.04	4906585	641.3695236
1952	71	34.078	20860941	362.1462796
1957	71	36.667	22815614	378.9041632
1962	71	40.059	25145372	419.4564161
1967	71	42.115	27860297	516.1186438
1972	71	43.515	30770372	566.2439442
1977	71	44.51	34617799	556.8083834
1982	71	44.916	38111756	577.8607471
1987	71	46.684	42999530	573.7413142
1992	71	48.091	52088559	421.3534653
1997	71	49.402	59861301	515.8894013
2002	71	50.725	67946797	530.0535319
2007	71	52.947	76511887	690.8055759
1952	75	66.55	4090500	6424.519071
1957	75	67.49	4324000	7545.415386
1962	75	68.75	4491443	9371.842561
1967	75	69.83	4605744	10921.63626
1972	75	70.87	4639657	14358.8759
1977	75	72.52	4738902	15605.42283
1982	75	74.55	4826933	18533.15761
1987	75	74.83	4931729	21141.01223
1992	75	75.7	5041039	20647.16499
1997	75	77.13	5134406	23723.9502
2002	75	78.37	5193039	28204.59057
2007	75	79.313	5238460	33207.0844
1952	76	67.41	42459667	7029.809327
1957	76	68.93	44310863	8662.834898
1962	76	70.51	47124000	10560.48553
1967	76	71.55	49569000	12999.91766
1972	76	72.38	51732000	16107.19171
1977	76	73.83	53165019	18292.63514
1982	76	74.89	54433565	20293.89746
1987	76	76.34	55630100	22066.44214
1992	76	77.46	57374179	24703.79615
1997	76	78.64	58623428	25889.78487
2002	76	79.59	59925035	28926.03234
2007	76	80.657	61083916	30470.0167
1952	80	37.003	420702	4293.476475
1957	80	38.999	434904	4976.198099
1962	80	40.489	455661	6631.459222
1967	80	44.598	489004	8358.761987
1972	80	48.69	537977	11401.94841
1977	80	52.79	706367	21745.57328
1982	80	56.564	753874	15113.36194
1987	80	60.19	880397	11864.40844
1992	80	61.366	985739	13522.15752
1997	80	60.461	1126189	14722.84188
2002	80	56.761	1299304	12521.71392
2007	80	56.735	1454867	13206.48452
1952	81	30	284320	485.2306591
1957	81	32.065	323150	520.9267111
1962	81	33.896	374020	599.650276
1967	81	35.857	439593	734.7829124
1972	81	38.308	517101	756.0868363
1977	81	41.842	608274	884.7552507
1982	81	45.58	715523	835.8096108
1987	81	49.265	848406	611.6588611
1992	81	52.644	1025384	665.6244126
1997	81	55.861	1235767	653.7301704
2002	81	58.041	1457766	660.5855997
2007	81	59.448	1688359	752.7497265
1952	83	67.5	69145952	7144.114393
1957	83	69.1	71019069	10187.82665
1962	83	70.3	73739117	12902.46291
1967	83	70.8	76368453	14745.62561
1972	83	71	78717088	18016.18027
1977	83	72.5	78160773	20512.92123
1982	83	73.8	78335266	22031.53274
1987	83	74.847	77718298	24639.18566
1992	83	76.07	80597764	26505.30317
1997	83	77.34	82011073	27788.88416
2002	83	78.67	82350671	30035.80198
2007	83	79.406	82400996	32170.37442
1952	84	43.149	5581001	911.2989371
1957	84	44.779	6391288	1043.561537
1962	84	46.452	7355248	1190.041118
1967	84	48.072	8490213	1125.69716
1972	84	49.875	9354120	1178.223708
1977	84	51.756	10538093	993.2239571
1982	84	53.744	11400338	876.032569
1987	84	55.729	14168101	847.0061135
1992	84	57.501	16278738	925.060154
1997	84	58.556	18418288	1005.245812
2002	84	58.453	20550751	1111.984578
2007	84	60.022	22873338	1327.60891
1952	86	65.86	7733250	3530.690067
1957	86	67.86	8096218	4916.299889
1962	86	69.51	8448233	6017.190733
1967	86	71	8716441	8513.097016
1972	86	72.34	8888628	12724.82957
1977	86	73.68	9308479	14195.52428
1982	86	75.24	9786480	15268.42089
1987	86	76.67	9974490	16120.52839
1992	86	77.03	10325429	17541.49634
1997	86	77.869	10502372	18747.69814
2002	86	78.256	10603863	22514.2548
2007	86	79.483	10706290	27538.41188
1952	91	42.023	3146381	2428.237769
1957	91	44.142	3640876	2617.155967
1962	91	46.954	4208858	2750.364446
1967	91	50.016	4690773	3242.531147
1972	91	53.738	5149581	4031.408271
1977	91	56.029	5703430	4879.992748
1982	91	58.137	6395630	4820.49479
1987	91	60.782	7326406	4246.485974
1992	91	63.373	8486949	4439.45084
1997	91	66.322	9803875	4684.313807
2002	91	68.978	11178650	4858.347495
2007	91	70.259	12572928	5186.050003
1952	93	33.609	2664249	510.1964923
1957	93	34.558	2876726	576.2670245
1962	93	35.753	3140003	686.3736739
1967	93	37.197	3451418	708.7595409
1972	93	38.842	3811387	741.6662307
1977	93	40.762	4227026	874.6858643
1982	93	42.891	4710497	857.2503577
1987	93	45.552	5650262	805.5724718
1992	93	48.576	6990574	794.3484384
1997	93	51.455	8048834	869.4497668
2002	93	53.676	8807818	945.5835837
2007	93	56.007	9947814	942.6542111
1952	94	32.5	580653	299.850319
1957	94	33.489	601095	431.7904566
1962	94	34.488	627820	522.0343725
1967	94	35.492	601287	715.5806402
1972	94	36.486	625361	820.2245876
1977	94	37.465	745228	764.7259628
1982	94	39.327	825987	838.1239671
1987	94	41.245	927524	736.4153921
1992	94	43.266	1050938	745.5398706
1997	94	44.873	1193708	796.6644681
2002	94	45.504	1332459	575.7047176
2007	94	46.388	1472041	579.231743
1952	96	37.579	3201488	1840.366939
1957	96	40.696	3507701	1726.887882
1962	96	43.59	3880130	1796.589032
1967	96	46.243	4318137	1452.057666
1972	96	48.042	4698301	1654.456946
1977	96	49.923	4908554	1874.298931
1982	96	51.461	5198399	2011.159549
1987	96	53.636	5756203	1823.015995
1992	96	55.089	6326682	1456.309517
1997	96	56.671	6913545	1341.726931
2002	96	58.137	7607651	1270.364932
2007	96	60.916	8502814	1201.637154
1952	99	41.912	1517453	2194.926204
1957	99	44.665	1770390	2220.487682
1962	99	48.041	2090162	2291.156835
1967	99	50.924	2500689	2538.269358
1972	99	53.884	2965146	2529.842345
1977	99	57.402	3055235	3203.208066
1982	99	60.909	3669448	3121.760794
1987	99	64.492	4372203	3023.096699
1992	99	66.399	5077347	3081.694603
1997	99	67.659	5867957	3160.454906
2002	99	68.565	6677328	3099.72866
2007	99	70.198	7483763	3548.330846
1952	100	60.96	2125900	3054.421209
1957	100	64.75	2736300	3629.076457
1962	100	67.65	3305200	4692.648272
1967	100	70	3722800	6197.962814
1972	100	72	4115700	8315.928145
1977	100	73.6	4583700	11186.14125
1982	100	75.45	5264500	14560.53051
1987	100	76.2	5584510	20038.47269
1992	100	77.601	5829696	24757.60301
1997	100	80	6495918	28377.63219
2002	100	81.495	6762476	30209.01516
2007	100	82.208	6980412	39724.97867
1952	101	64.03	9504000	5263.673816
1957	101	66.41	9839000	6040.180011
1962	101	67.96	10063000	7550.359877
1967	101	69.5	10223422	9326.64467
1972	101	69.76	10394091	10168.65611
1977	101	69.95	10637171	11674.83737
1982	101	69.39	10705535	12545.99066
1987	101	69.58	10612740	12986.47998
1992	101	69.17	10348684	10535.62855
1997	101	71.04	10244684	11712.7768
2002	101	72.59	10083313	14843.93556
2007	101	73.338	9956108	18008.94444
1952	102	72.49	147962	7267.688428
1957	102	73.47	165110	9244.001412
1962	102	73.68	182053	10350.15906
1967	102	73.73	198676	13319.89568
1972	102	74.46	209275	15798.06362
1977	102	76.11	221823	19654.96247
1982	102	76.99	233997	23269.6075
1987	102	77.23	244676	26923.20628
1992	102	78.77	259012	25144.39201
1997	102	78.95	271192	28061.09966
2002	102	80.5	288030	31163.20196
2007	102	81.757	301931	36180.78919
1952	103	37.373	372000000	546.5657493
1957	103	40.249	409000000	590.061996
1962	103	43.605	454000000	658.3471509
1967	103	47.193	506000000	700.7706107
1972	103	50.651	567000000	724.032527
1977	103	54.208	634000000	813.337323
1982	103	56.596	708000000	855.7235377
1987	103	58.553	788000000	976.5126756
1992	103	60.223	872000000	1164.406809
1997	103	61.765	959000000	1458.817442
2002	103	62.879	1034172547	1746.769454
2007	103	64.698	1110396331	2452.210407
1952	104	37.468	82052000	749.6816546
1957	104	39.918	90124000	858.9002707
1962	104	42.518	99028000	849.2897701
1967	104	45.964	109343000	762.4317721
1972	104	49.203	121282000	1111.107907
1977	104	52.702	136725000	1382.702056
1982	104	56.159	153343000	1516.872988
1987	104	60.137	169276000	1748.356961
1992	104	62.681	184816000	2383.140898
1997	104	66.041	199278000	3119.335603
2002	104	68.588	211060000	2873.91287
2007	104	70.65	223547000	3540.651564
1952	105	44.869	17272000	3035.326002
1957	105	47.181	19792000	3290.257643
1962	105	49.325	22874000	4187.329802
1967	105	52.469	26538000	5906.731805
1972	105	55.234	30614000	9613.818607
1977	105	57.702	35480679	11888.59508
1982	105	59.62	43072751	7608.334602
1987	105	63.04	51889696	6642.881371
1992	105	65.742	60397973	7235.653188
1997	105	68.042	63327987	8263.590301
2002	105	69.451	66907826	9240.761975
2007	105	70.964	69453570	11605.71449
1952	106	45.32	5441766	4129.766056
1957	106	48.437	6248643	6229.333562
1962	106	51.457	7240260	8341.737815
1967	106	54.459	8519282	8931.459811
1972	106	56.95	10061506	9576.037596
1977	106	60.413	11882916	14688.23507
1982	106	62.038	14173318	14517.90711
1987	106	65.044	16543189	11643.57268
