Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
New Hampshire,2020,35,2020-08-29,231,203,,44,13,,,17,,,,47,11,,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),
New Hampshire,2020,36,2020-09-05,234,211,0,43,,,,,,,,61,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
New Hampshire,2020,37,2020-09-12,228,199,,47,,13,,,,,,59,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
New Hampshire,2020,38,2020-09-19,226,201,,44,,12,,,,,,50,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
New Hampshire,2020,39,2020-09-26,273,247,,50,,12,,16,,,,54,13,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
New Hampshire,2020,40,2020-10-03,222,197,,49,,,,,,,,46,11,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
New Hampshire,2020,41,2020-10-10,255,230,,53,,,,,,,,58,10,16,11,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,42,2020-10-17,253,236,,64,10,,,11,,,,60,,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
New Hampshire,2020,43,2020-10-24,233,217,,55,,10,,12,,,,40,13,11,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
New Hampshire,2020,44,2020-10-31,257,243,,56,,14,0,12,,0,,60,11,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
New Hampshire,2020,45,2020-11-07,264,240,,59,,10,,,,,,51,13,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
New Hampshire,2020,46,2020-11-14,284,264,,65,,,,15,,,,57,18,10,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9)
New Hampshire,2020,47,2020-11-21,259,242,,58,,,,10,,,,58,,13,11,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2020,48,2020-11-28,284,269,,57,,,,,,,,67,,27,26,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2020,49,2020-12-05,313,288,,62,,,,16,,,,56,16,46,41,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,50,2020-12-12,312,284,,38,,,,14,,,10,67,16,52,48,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Hampshire,2020,51,2020-12-19,288,265,,56,,13,,,,,,56,11,56,48,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,52,2020-12-26,357,341,,64,,13,0,15,,,,61,11,85,76,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2020,53,2021-01-02,304,287,,41,,10,0,11,,,,59,12,77,72,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2021,1,2021-01-09,323,302,,60,,,,12,,,,55,11,73,63,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2021,2,2021-01-16,356,336,,63,,,,15,,,10,59,12,80,69,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Hampshire,2021,3,2021-01-23,296,279,0,52,,11,,16,,,,46,14,64,56,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2021,4,2021-01-30,272,262,,46,,,,14,,,,49,,61,52,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Hampshire,2021,5,2021-02-06,289,272,,42,,,,14,,,,62,12,37,30,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Hampshire,2021,6,2021-02-13,255,246,,52,,10,,13,,,11,55,,22,19,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
New Hampshire,2021,7,2021-02-20,264,251,,65,,,,15,,,16,50,14,17,12,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Hampshire,2021,8,2021-02-27,244,233,,56,,10,0,15,,,16,43,,14,12,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
New Hampshire,2021,9,2021-03-06,241,226,,36,,,,,,,13,54,15,12,10,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Hampshire,2021,10,2021-03-13,227,218,,53,11,13,,15,,,12,43,,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
New Hampshire,2021,11,2021-03-20,171,166,,36,,,,13,0,,13,34,,11,11,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
New Hampshire,2021,12,2021-03-27,181,176,,41,,,0,,,,,45,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
New Jersey,2020,1,2020-01-04,1628,1479,41,321,30,42,25,65,53,35,26,419,68,0,0,,,,,,,,,,,,,,,
New Jersey,2020,2,2020-01-11,1587,1481,38,317,44,51,37,70,40,32,21,394,66,0,0,,,,,,,,,,,,,,,
New Jersey,2020,3,2020-01-18,1489,1393,44,309,35,38,36,73,49,36,19,364,76,0,0,,,,,,,,,,,,,,,
New Jersey,2020,4,2020-01-25,1579,1454,39,310,47,52,34,64,39,36,20,392,86,0,0,,,,,,,,,,,,,,,
New Jersey,2020,5,2020-02-01,1517,1419,47,302,43,54,29,59,40,30,27,349,64,0,0,,,,,,,,,,,,,,,
New Jersey,2020,6,2020-02-08,1494,1379,30,299,36,48,26,58,43,41,21,371,80,0,0,,,,,,,,,,,,,,,
New Jersey,2020,7,2020-02-15,1488,1382,50,320,39,46,28,70,38,36,21,358,73,0,0,,,,,,,,,,,,,,,
New Jersey,2020,8,2020-02-22,1493,1386,45,300,34,52,31,71,59,22,19,381,64,0,0,,,,,,,,,,,,,,,
New Jersey,2020,9,2020-02-29,1571,1466,47,311,43,56,36,62,48,29,27,378,85,0,0,,,,,,,,,,,,,,,
New Jersey,2020,10,2020-03-07,1509,1395,43,309,42,40,38,60,43,29,18,379,72,0,0,,,,,,,,,,,,,,,
New Jersey,2020,11,2020-03-14,1477,1365,38,280,40,45,34,53,38,27,34,389,75,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
New Jersey,2020,12,2020-03-21,1599,1520,40,306,44,48,43,65,43,57,25,383,85,37,34,,,,,,,,,,,,,,,
New Jersey,2020,13,2020-03-28,2124,2002,63,288,48,67,84,72,68,34,31,469,69,292,277,,,,,,,,,,,,,,,
New Jersey,2020,14,2020-04-04,3482,3371,62,327,99,100,105,106,73,46,59,552,108,1247,1196,,,,,,,,,,,,,,,
New Jersey,2020,15,2020-04-11,4771,4667,61,324,96,124,126,116,92,46,64,631,104,2367,2285,,,,,,,,,,,,,,,
New Jersey,2020,16,2020-04-18,4729,4623,45,343,105,129,84,96,64,47,42,595,92,2491,2389,,,,,,,,,,,,,,,
New Jersey,2020,17,2020-04-25,3976,3867,50,268,86,101,77,101,68,42,32,528,78,2042,1915,,,,,,,,,,,,,,,
New Jersey,2020,18,2020-05-02,3182,3071,48,297,66,81,60,66,50,29,32,417,72,1554,1444,,,,,,,,,,,,,,,
New Jersey,2020,19,2020-05-09,2601,2473,35,285,62,66,39,51,47,32,34,393,54,1124,1013,,,,,,,,,,,,,,,
New Jersey,2020,20,2020-05-16,2285,2193,39,268,49,61,34,57,38,34,27,408,90,827,742,,,,,,,,,,,,,,,
New Jersey,2020,21,2020-05-23,1937,1818,27,292,43,48,29,48,30,26,20,381,73,556,487,,,,,,,,,,,,,,,
New Jersey,2020,22,2020-05-30,1745,1613,39,264,43,49,30,49,34,21,22,317,68,396,348,,,,,,,,,,,,,,,
New Jersey,2020,23,2020-06-06,1583,1465,24,251,40,47,20,46,30,28,22,356,44,314,254,,,,,,,,,,,,,,,
New Jersey,2020,24,2020-06-13,1486,1371,27,278,36,35,17,48,30,30,19,330,54,220,183,,,,,,,,,,,,,,,
New Jersey,2020,25,2020-06-20,1410,1293,38,281,32,37,23,43,32,28,20,330,54,162,127,,,,,,,,,,,,,,,
New Jersey,2020,26,2020-06-27,1444,1337,34,280,40,40,19,52,32,29,17,333,65,141,107,,,,,,,,,,,,,,,
New Jersey,2020,27,2020-07-04,1405,1283,33,294,46,31,16,57,31,32,21,336,56,102,78,,,,,,,,,,,,,,,
New Jersey,2020,28,2020-07-11,1387,1238,28,260,31,39,11,42,28,19,19,326,65,85,59,,,,,,,,,,,,,,,
New Jersey,2020,29,2020-07-18,1324,1225,34,294,32,47,23,38,17,31,21,304,64,61,40,,,,,,,,,,,,,,,
New Jersey,2020,30,2020-07-25,1368,1261,33,294,38,43,23,31,25,26,16,326,54,65,49,,,,,,,,,,,,,,,
New Jersey,2020,31,2020-08-01,1389,1267,32,295,34,42,14,33,39,29,20,339,63,63,48,,,,,,,,,,,,,,,
New Jersey,2020,32,2020-08-08,1342,1224,44,290,26,32,28,46,40,25,25,304,77,36,27,,,,,,,,,,,,,,,
New Jersey,2020,33,2020-08-15,1308,1193,24,269,46,53,20,43,29,29,28,302,49,45,33,,,,,,,,,,,,,,,
New Jersey,2020,34,2020-08-22,1341,1222,46,282,29,37,17,49,38,26,19,333,55,36,30,,,,,,,,,,,,,,,
New Jersey,2020,35,2020-08-29,1335,1205,29,296,45,37,15,45,27,25,15,328,63,33,21,,,,,,,,,,,,,,,
New Jersey,2020,36,2020-09-05,1396,1268,29,278,47,37,21,50,29,37,18,345,51,32,26,,,,,,,,,,,,,,,
New Jersey,2020,37,2020-09-12,1388,1290,38,323,39,44,18,41,36,33,19,320,63,35,30,,,,,,,,,,,,,,,
New Jersey,2020,38,2020-09-19,1376,1260,30,278,40,34,19,46,18,33,25,330,80,35,27,,,,,,,,,,,,,,,
New Jersey,2020,39,2020-09-26,1393,1290,41,291,38,35,11,52,37,34,25,337,80,31,27,,,,,,,,,,,,,,,
New Jersey,2020,40,2020-10-03,1330,1213,33,273,33,33,21,49,31,31,20,306,80,34,27,,,,,,,,,,,,,,,
New Jersey,2020,41,2020-10-10,1398,1284,31,290,51,50,31,46,34,28,32,292,67,53,40,,,,,,,,,,,,,,,
New Jersey,2020,42,2020-10-17,1336,1226,38,255,34,38,15,41,53,25,33,319,58,56,50,,,,,,,,,,,,,,,
New Jersey,2020,43,2020-10-24,1468,1366,39,312,36,58,21,45,38,29,23,319,59,71,62,,,,,,,,,,,,,,,
New Jersey,2020,44,2020-10-31,1432,1340,37,274,35,49,14,59,38,27,19,369,50,82,69,,,,,,,,,,,,,,,
New Jersey,2020,45,2020-11-07,1566,1453,47,338,50,35,22,54,30,28,40,346,73,91,82,,,,,,,,,,,,,,,
New Jersey,2020,46,2020-11-14,1627,1515,42,327,43,44,27,56,41,33,24,367,52,179,156,,,,,,,,,,,,,,,
New Jersey,2020,47,2020-11-21,1673,1552,49,328,41,40,20,51,39,31,30,339,63,226,197,,,,,,,,,,,,,,,
New Jersey,2020,48,2020-11-28,1696,1594,40,257,55,45,17,55,34,27,43,371,68,311,281,,,,,,,,,,,,,,,
New Jersey,2020,49,2020-12-05,1902,1800,49,300,48,45,18,46,38,38,23,387,57,453,408,,,,,,,,,,,,,,,
New Jersey,2020,50,2020-12-12,2022,1916,32,315,53,59,27,50,41,33,37,387,73,493,458,,,,,,,,,,,,,,,
New Jersey,2020,51,2020-12-19,2090,2013,58,310,52,59,23,52,51,31,67,398,100,526,480,,,,,,,,,,,,,,,
New Jersey,2020,52,2020-12-26,2058,1973,42,272,62,54,23,60,46,30,49,400,82,557,514,,,,,,,,,,,,,,,
New Jersey,2020,53,2021-01-02,2208,2086,34,304,64,57,31,57,45,40,47,415,97,643,586,,,,,,,,,,,,,,,
New Jersey,2021,1,2021-01-09,2049,1954,45,266,52,47,34,38,36,39,63,405,74,542,493,,,,,,,,,,,,,,,
New Jersey,2021,2,2021-01-16,2151,2057,43,293,55,57,31,59,39,41,78,389,79,591,540,,,,,,,,,,,,,,,
New Jersey,2021,3,2021-01-23,1983,1916,40,258,34,61,25,56,41,31,82,343,92,555,507,,,,,,,,,,,,,,,
New Jersey,2021,4,2021-01-30,1999,1935,46,285,47,65,30,46,40,39,73,402,55,513,462,,,,,,,,,,,,,,,
New Jersey,2021,5,2021-02-06,2022,1954,44,282,51,59,23,35,42,38,100,399,80,461,418,,,,,,,,,,,,,,,
New Jersey,2021,6,2021-02-13,1844,1788,46,292,38,51,24,39,41,39,107,373,80,364,321,,,,,,,,,,,,,,,
New Jersey,2021,7,2021-02-20,1801,1736,53,306,45,46,20,41,37,43,94,369,68,316,277,,,,,,,,,,,,,,,
New Jersey,2021,8,2021-02-27,1764,1693,35,300,37,53,21,56,36,37,98,358,77,290,248,,,,,,,,,,,,,,,
New Jersey,2021,9,2021-03-06,1669,1612,43,269,42,53,34,33,35,40,118,351,82,220,194,,,,,,,,,,,,,,,
New Jersey,2021,10,2021-03-13,1420,1377,48,258,27,42,16,43,36,29,75,294,72,202,172,,,,,,,,,,,,,,,
New Jersey,2021,11,2021-03-20,1285,1257,32,262,23,51,19,37,38,14,92,255,48,183,166,,,,,,,,,,,,,,,
New Jersey,2021,12,2021-03-27,1177,1154,21,215,25,37,10,39,32,28,82,279,33,167,154,,,,,,,,,,,,,,,
New Mexico,2020,1,2020-01-04,406,356,,63,15,14,17,18,,,,98,25,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,2,2020-01-11,409,364,,66,16,10,14,44,,,,86,13,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,3,2020-01-18,388,338,,61,14,12,11,27,,,,89,,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
New Mexico,2020,4,2020-01-25,400,364,,75,10,11,16,24,,,,88,18,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,5,2020-02-01,370,322,,61,11,,12,21,12,,,74,21,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,6,2020-02-08,376,315,,77,16,,,25,,,,68,15,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,7,2020-02-15,382,337,,75,19,11,16,20,10,,,73,15,0,0,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,8,2020-02-22,388,336,,67,13,10,,25,,,0,87,20,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,9,2020-02-29,395,354,,61,,17,,31,,11,,103,19,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2020,10,2020-03-07,399,357,,60,19,14,11,21,,13,,93,23,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2020,11,2020-03-14,341,295,,54,13,13,,19,,,,79,12,0,0,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,12,2020-03-21,388,349,,61,15,10,13,25,,,,82,14,0,0,,,Suppressed (counts 1-9),,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,13,2020-03-28,363,320,,60,18,14,,26,,,,86,12,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
New Mexico,2020,14,2020-04-04,395,356,,68,16,12,,31,11,,,78,13,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
New Mexico,2020,15,2020-04-11,405,373,,66,,20,,28,,,,89,18,22,17,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,16,2020-04-18,419,376,,76,17,17,,21,,,,74,21,35,31,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,17,2020-04-25,405,360,,67,20,,,18,,,,72,16,47,43,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,18,2020-05-02,418,369,,54,11,11,,13,,,,82,15,75,73,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,19,2020-05-09,440,389,,57,18,14,,16,,,,96,18,70,68,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,20,2020-05-16,469,406,,71,17,12,,19,,12,,77,15,67,58,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2020,21,2020-05-23,393,347,,70,16,10,,25,10,,,55,13,42,39,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,22,2020-05-30,431,378,,63,16,,,16,,,,97,18,55,51,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,23,2020-06-06,447,381,,67,18,14,,20,,,,84,16,37,35,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,24,2020-06-13,440,397,,68,10,14,,26,,11,,84,17,36,34,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2020,25,2020-06-20,412,353,,59,16,,,25,,,,87,11,28,27,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,26,2020-06-27,398,344,,62,,14,,14,,12,,80,19,21,20,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,
New Mexico,2020,27,2020-07-04,441,392,,92,13,13,,23,,,,87,16,27,26,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,28,2020-07-11,401,359,,74,16,15,,23,,,,84,18,29,24,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,29,2020-07-18,399,332,,62,,16,,20,,,,62,15,32,31,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,30,2020-07-25,431,380,,53,16,17,,15,,,,72,19,49,48,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,31,2020-08-01,401,348,,70,18,17,,14,,,,69,20,42,39,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,32,2020-08-08,428,381,,67,17,21,,16,,,,88,17,28,26,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,33,2020-08-15,392,346,,70,19,12,,17,,,,67,17,22,20,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,34,2020-08-22,403,337,,64,20,12,,19,,,,82,11,21,17,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,35,2020-08-29,395,353,,80,19,17,,17,,,,72,17,19,18,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,36,2020-09-05,370,303,0,61,,17,,17,,,,55,16,11,10,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,37,2020-09-12,391,343,,59,17,13,,13,,,,79,20,,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9)
New Mexico,2020,38,2020-09-19,395,331,,75,16,15,,12,,,,69,19,10,10,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
New Mexico,2020,39,2020-09-26,394,355,,86,10,12,,20,,,0,74,25,12,12,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
New Mexico,2020,40,2020-10-03,379,335,,63,18,18,,14,,,,67,18,16,13,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
