Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All  Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J10-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke
United States,2016,45,11/12/2016,52546,47992,777,11498,1602,2233,891,2786,739,942,671,12104,2821,,,,,,,,,,,,,
United States,2016,46,11/19/2016,53464,48824,774,11749,1528,2404,869,2884,742,963,704,12302,2840,,,,,,,,,,,,,
United States,2016,47,11/26/2016,53171,48629,756,11320,1613,2299,883,2951,758,971,703,12457,2759,,,,,,,,,,,,,
United States,2016,48,12/03/2016,54611,49928,830,11523,1608,2447,917,3033,780,973,763,12655,2934,,,,,,,,,,,,,
United States,2016,49,12/10/2016,55173,50531,771,11500,1672,2485,1052,3049,807,981,796,12883,2981,,,,,,,,,,,,,
United States,2016,50,12/17/2016,56024,51582,869,11827,1588,2483,1077,3088,804,1000,734,13302,2928,,,,,,,,,,,,,
United States,2016,51,12/24/2016,56757,52213,818,11639,1776,2606,1121,3270,801,1058,782,13267,3111,,,,,,,,,,,,,
United States,2016,52,12/31/2016,57658,53148,906,11490,1732,2671,1318,3457,868,1035,827,13689,3064,,,,,,,,,,,,,
United States,2017,1,01/07/2017,59764,54862,915,11643,1836,2710,1540,3758,897,1104,640,14061,3180,,,,,,,,,,,,,
United States,2017,2,01/14/2017,60982,56209,954,12102,1902,2769,1599,3870,962,1120,618,14232,3103,,,,,,,,,,,,,
United States,2017,3,01/21/2017,59294,54654,876,11882,1675,2787,1612,3728,957,1062,652,13950,3061,,,,,,,,,,,,,
United States,2017,4,01/28/2017,58051,53359,910,11488,1769,2583,1528,3678,895,1101,623,13649,2981,,,,,,,,,,,,,
United States,2017,5,02/04/2017,58437,53749,947,11689,1693,2693,1611,3612,881,1074,598,13713,2987,,,,,,,,,,,,,
United States,2017,6,02/11/2017,59043,54228,870,11908,1836,2532,1620,3668,901,1071,670,13763,2986,,,,,,,,,,,,,
United States,2017,7,02/18/2017,58482,53951,890,11571,1778,2584,1682,3822,870,1072,640,13893,3025,,,,,,,,,,,,,
United States,2017,8,02/25/2017,58290,53768,880,11597,1710,2566,1709,3862,926,1074,660,13629,2997,,,,,,,,,,,,,
United States,2017,9,03/04/2017,57257,52480,897,11115,1717,2518,1632,3631,846,1049,618,13390,3040,,,,,,,,,,,,,
United States,2017,10,03/11/2017,57480,52622,840,11546,1734,2566,1565,3608,886,1055,652,13281,2954,,,,,,,,,,,,,
United States,2017,11,03/18/2017,56658,52170,863,11424,1731,2506,1451,3577,890,1069,645,13461,2846,,,,,,,,,,,,,
United States,2017,12,03/25/2017,57048,52296,861,11570,1696,2562,1393,3563,878,1019,635,13117,2924,,,,,,,,,,,,,
United States,2017,13,04/01/2017,55706,51102,809,11601,1643,2473,1312,3465,902,1035,678,12754,2862,,,,,,,,,,,,,
United States,2017,14,04/08/2017,55161,50321,855,11385,1612,2374,1234,3471,885,1014,645,12688,2802,,,,,,,,,,,,,
United States,2017,15,04/15/2017,54863,50156,829,11624,1621,2331,1193,3308,853,1041,566,12402,2918,,,,,,,,,,,,,
United States,2017,16,04/22/2017,53071,48493,816,11358,1462,2318,1059,3097,855,958,617,12088,2796,,,,,,,,,,,,,
United States,2017,17,04/29/2017,53297,48569,775,11451,1575,2251,992,3116,820,987,615,12428,2709,,,,,,,,,,,,,
United States,2017,18,05/06/2017,52658,47851,722,11300,1629,2170,973,3120,755,989,593,12007,2708,,,,,,,,,,,,,
United States,2017,19,05/13/2017,51987,47376,754,11285,1559,2153,898,3057,764,1024,573,11955,2728,,,,,,,,,,,,,
United States,2017,20,05/20/2017,52481,47655,708,11408,1428,2114,874,3042,777,899,615,12200,2778,,,,,,,,,,,,,
United States,2017,21,05/27/2017,50976,46223,726,11088,1455,2120,812,2997,755,931,574,11707,2644,,,,,,,,,,,,,
United States,2017,22,06/03/2017,51257,46341,719,11187,1476,2167,842,2844,744,912,573,11780,2703,,,,,,,,,,,,,
United States,2017,23,06/10/2017,51424,46482,723,11241,1479,2098,848,2870,716,853,584,11848,2644,,,,,,,,,,,,,
United States,2017,24,06/17/2017,50799,45999,740,11127,1524,2084,795,2848,715,863,560,11748,2550,,,,,,,,,,,,,
United States,2017,25,06/24/2017,51195,46283,695,11491,1485,2137,783,2866,757,910,587,11504,2615,,,,,,,,,,,,,
United States,2017,26,07/01/2017,50618,45768,708,11359,1484,2009,789,2762,736,895,626,11613,2548,,,,,,,,,,,,,
United States,2017,27,07/08/2017,50961,45727,692,11512,1473,2028,776,2687,704,859,559,11572,2507,,,,,,,,,,,,,
United States,2017,28,07/15/2017,49975,45199,708,11326,1428,2053,810,2621,721,842,530,11387,2613,,,,,,,,,,,,,
United States,2017,29,07/22/2017,50132,45290,672,11422,1467,2044,708,2580,714,839,607,11307,2590,,,,,,,,,,,,,
United States,2017,30,07/29/2017,49364,44594,663,11292,1435,2005,756,2517,691,810,582,11079,2533,,,,,,,,,,,,,
United States,2017,31,08/05/2017,50091,45184,675,11172,1433,2091,700,2672,712,919,591,11351,2660,,,,,,,,,,,,,
United States,2017,32,08/12/2017,50238,45417,658,11463,1427,2137,724,2535,746,873,548,11275,2670,,,,,,,,,,,,,
United States,2017,33,08/19/2017,50188,45455,701,11431,1537,2088,703,2503,733,860,575,11299,2514,,,,,,,,,,,,,
United States,2017,34,08/26/2017,49517,44877,714,11254,1365,2031,729,2516,687,851,608,11171,2636,,,,,,,,,,,,,
United States,2017,35,09/02/2017,50832,46087,721,11615,1502,2166,719,2530,690,873,554,11461,2717,,,,,,,,,,,,,
United States,2017,36,09/09/2017,50983,46238,761,11273,1525,2107,797,2525,719,956,630,11580,2698,,,,,,,,,,,,,
United States,2017,37,09/16/2017,51696,46944,724,11394,1535,2249,796,2698,754,942,649,11709,2685,,,,,,,,,,,,,
United States,2017,38,09/23/2017,51230,46489,715,11430,1535,2172,734,2662,726,913,639,11534,2647,,,,,,,,,,,,,
United States,2017,39,09/30/2017,51344,46403,754,11495,1520,2221,797,2649,768,869,633,11459,2606,,,,,,,,,,,,,
United States,2017,40,10/07/2017,52112,47226,700,11636,1515,2241,793,2749,759,903,635,11774,2742,,,,,,,,,,,,,
United States,2017,41,10/14/2017,51582,46930,731,11534,1416,2185,813,2677,759,903,631,11631,2722,,,,,,,,,,,,,
United States,2017,42,10/21/2017,52234,47683,740,11607,1658,2291,826,2732,687,921,623,11883,2779,,,,,,,,,,,,,
United States,2017,43,10/28/2017,52551,47948,774,11500,1541,2318,841,2791,762,909,657,11988,2813,,,,,,,,,,,,,
United States,2017,44,11/04/2017,53680,48905,736,11601,1603,2357,841,2798,823,981,680,12184,2732,,,,,,,,,,,,,
United States,2017,45,11/11/2017,53261,48502,781,11560,1616,2328,886,2793,777,1028,637,12088,2817,,,,,,,,,,,,,
United States,2017,46,11/18/2017,53775,49141,791,11445,1635,2328,908,2757,803,977,657,12411,2890,,,,,,,,,,,,,
United States,2017,47,11/25/2017,54122,49534,781,11606,1711,2360,902,2893,737,981,671,12609,2890,,,,,,,,,,,,,
United States,2017,48,12/02/2017,54762,50104,843,11410,1650,2362,1006,3020,822,1004,695,12652,2967,,,,,,,,,,,,,
United States,2017,49,12/09/2017,55597,50838,825,11566,1701,2424,1048,3122,836,1000,724,12856,2918,,,,,,,,,,,,,
United States,2017,50,12/16/2017,57376,52761,798,11736,1799,2661,1211,3204,798,1012,721,13438,3176,,,,,,,,,,,,,
United States,2017,51,12/23/2017,59506,54749,894,12042,1761,2825,1392,3426,871,1103,787,13950,3138,,,,,,,,,,,,,
United States,2017,52,12/30/2017,61093,56483,944,11689,1989,2729,1813,3708,911,1159,761,14766,3152,,,,,,,,,,,,,
United States,2018,1,01/06/2018,66142,61016,1066,11920,2110,2958,2509,4207,1086,1219,745,16020,3359,,,,,,,,,,,,,
